Division,District,Name,Population20,Quintile,HCR Upper (%),Standard Error (%)
Barishal Division,Barguna,Amtali,211015,Low ,14.9,5
Barishal Division,Barguna,Bamna,77419,Moderate ,20.2,10.5
Barishal Division,Barguna,Barguna Sadar,288426,Moderate ,18.6,3
Barishal Division,Barguna,Betagi,124379,High ,22.3,10.2
Barishal Division,Barguna,Patharghata,175873,High ,23.5,2.2
Barishal Division,Barguna,Taltali,115609,High ,23.3,9.6
Barishal Division,Barishal,Agailjhara,153523,High ,24.9,4.7
Barishal Division,Barishal,Babuganj,150640,Low ,13.7,5
Barishal Division,Barishal,Bakerganj,346151,High ,27.1,3.4
Barishal Division,Barishal,Banaripara,167200,Very High ,38.4,4.1
Barishal Division,Barishal,Gaurnadi,202870,Very High ,33.3,4
Barishal Division,Barishal,Hijla,148102,Very High ,35.7,13.3
Barishal Division,Barishal,Barishal Sadar,617993,Moderate ,18.5,1.4
Barishal Division,Barishal,Mehendiganj,280553,Moderate ,19.2,3.8
Barishal Division,Barishal,Muladi,178483,Very High ,31.2,5.4
Barishal Division,Barishal,Ujirpur,251110,Very High ,32.2,3.7
Barishal Division,Bhola,Bhola Sadar,434440,Moderate ,20.7,3.3
Barishal Division,Bhola,Borhanuddin,261842,Very High ,44.2,5.1
Barishal Division,Bhola,Charfasson,514341,Moderate ,19.8,3.3
Barishal Division,Bhola,Daulatkhan,180248,Very High ,39.4,5
Barishal Division,Bhola,Lalmohan,292169,High ,23.5,5.7
Barishal Division,Bhola,Monpura,88973,High ,27.6,6.1
Barishal Division,Bhola,Tazumuddin,132345,Very High ,32.3,8.2
Barishal Division,Jhalokati,Jhalokati Sadar,209894,High ,21.9,3.4
Barishal Division,Jhalokati,Kanthalia,110496,Very High ,31.2,5.4
Barishal Division,Jhalokati,Nalchhity,184777,Very High ,53.8,4.1
Barishal Division,Jhalokati,Rajapur,142000,High ,26,5.2
Barishal Division,Patuakhali,Bauphal,322609,Very High ,35.5,4.3
Barishal Division,Patuakhali,Dashmina,128549,Moderate ,20.4,3.8
Barishal Division,Patuakhali,Dumki,78579,Moderate ,18.8,3.4
Barishal Division,Patuakhali,Galachipa,295095,Very High ,28.5,3.9
Barishal Division,Patuakhali,Kalapara,277035,Very Low ,7.7,2.6
Barishal Division,Patuakhali,Mirzaganj,124976,Moderate ,17.1,3.4
Barishal Division,Patuakhali,Patuakhali Sadar,343505,Low ,14,2.4
Barishal Division,Patuakhali,Rangabali,117102,Moderate ,17.5,4.1
Barishal Division,Pirojpur,Bhandaria,160364,Very High ,30.1,4.2
Barishal Division,Pirojpur,Pirojpur Sadar,69085,Very High ,41.4,14.3
Barishal Division,Pirojpur,Mathbaria,272481,Very High ,39.2,5.3
Barishal Division,Pirojpur,Nazirpur,185143,Very High ,33.4,5.7
Barishal Division,Pirojpur,Pirojpur Sadar,176647,Very High ,47.7,3.8
Barishal Division,Pirojpur,"Nesarabad
(Swarupkathi)",224752,Very High ,36.6,5.8
Barishal Division,Pirojpur,Indurkani,83367,Very High ,38.9,6.2
Chattogram Division,Bandarban,Alikadam,59162,High ,27.7,13.9
Chattogram Division,Bandarban,Bandarban Sadar,100447,Moderate ,18.3,6.6
Chattogram Division,Bandarban,Lama,133515,High ,23.7,15.2
Chattogram Division,Bandarban,Naikkhongchhari,74509,Very High ,30.8,4.2
Chattogram Division,Bandarban,Rowangchhari,26069,High ,23.4,14.9
Chattogram Division,Bandarban,Ruma,30065,Very High ,28.7,13.7
Chattogram Division,Bandarban,Thanchi,26925,Very High ,32.8,15.6
Chattogram Division,Brahmanbaria,Akhaura,164102,Moderate ,16.8,9
Chattogram Division,Brahmanbaria,Banchharampur,327327,Very Low ,3.6,2.9
Chattogram Division,Brahmanbaria,Bijoynagar,286164,Moderate ,19.7,14.7
Chattogram Division,Brahmanbaria,"Brahmanbaria
Sadar",645099,Low ,13.8,3
Chattogram Division,Brahmanbaria,Ashuganj,203505,Moderate ,17.3,9.6
Chattogram Division,Brahmanbaria,Kasba,352248,Low ,13.9,10.1
Chattogram Division,Brahmanbaria,Nabinagar,546739,High ,26.1,3.8
Chattogram Division,Brahmanbaria,Nasirnagar,344111,Very High ,45.9,6
Chattogram Division,Brahmanbaria,Sarail,358607,High ,22.7,13.7
Chattogram Division,Chandpur,Chandpur Sadar,516696,Very High ,34,2.2
Chattogram Division,Chandpur,Faridganj,426082,Low ,14,3.6
Chattogram Division,Chandpur,Haimchar,123584,Very High ,36.5,4.6
Chattogram Division,Chandpur,Hajiganj,351981,High ,24,14.9
Chattogram Division,Chandpur,Kachua,396813,Very Low ,7.6,4.3
Chattogram Division,Chandpur,Matlab Dakkhin,221770,High ,25.2,11.9
Chattogram Division,Chandpur,Matlab Uttar,292872,Very High ,40.7,4.7
Chattogram Division,Chandpur,Shahrasti,250930,High ,26,14.7
Chattogram Division,Chattogram,Akbarshah,146436,Low ,12.7,1.7
Chattogram Division,Chattogram,Anwara,311458,Very High ,34.3,4.4
Chattogram Division,Chattogram,Bayejid Bostami,373753,Very Low ,8.9,3.1
Chattogram Division,Chattogram,Banshkhali,526717,High ,21.4,5.3
Chattogram Division,Chattogram,Bakalia,218922,Low ,12.7,3.1
Chattogram Division,Chattogram,Boalkhali,253856,Low ,11.5,5.3
Chattogram Division,Chattogram,Chalk Bazar,107160,Very Low ,2.5,1.3
Chattogram Division,Chattogram,Chandanaish,246282,Low ,13.3,7.7
Chattogram Division,Chattogram,Chandgaon,297492,Very Low ,8,1.5
Chattogram Division,Chattogram,Chattogram Port,166861,Very Low ,6.7,1.4
Chattogram Division,Chattogram,Double Mooring,236454,Very Low ,1.1,1.6
Chattogram Division,Chattogram,EPZ,237441,Very Low ,2.6,1.1
Chattogram Division,Chattogram,Fatikchhari,621041,Moderate ,17.3,9.2
Chattogram Division,Chattogram,Halishahar,223012,Very Low ,6,1.5
Chattogram Division,Chattogram,Hathazari,470083,Low ,13.6,2.4
Chattogram Division,Chattogram,Karnaphuli,198192,Moderate ,15.4,6.8
Chattogram Division,Chattogram,Kotwali,206959,Very Low ,6.7,1.4
Chattogram Division,Chattogram,Khulshi,193239,Very Low ,5.8,2.1
Chattogram Division,Chattogram,Lohagara,318359,Low ,13.2,3.5
Chattogram Division,Chattogram,Mirsarai,458898,High ,25,3.9
Chattogram Division,Chattogram,Pahartali,184488,Very Low ,8.4,2.3
Chattogram Division,Chattogram,Panchlaish,199014,Very Low ,1.6,1.9
Chattogram Division,Chattogram,Patiya,387531,Low ,12.5,3
Chattogram Division,Chattogram,Patenga,155542,Very Low ,4.3,1.8
Chattogram Division,Chattogram,Rangunia,382940,Very Low ,4.1,3.1
Chattogram Division,Chattogram,Raozan,383740,Low ,9.8,5.3
Chattogram Division,Chattogram,Sadarghat,102931,Very Low ,3.7,2.1
Chattogram Division,Chattogram,Sandwip,324425,Low ,10.8,3.5
Chattogram Division,Chattogram,Satkania,440129,Low ,14.1,7.3
Chattogram Division,Chattogram,Sitakunda,439732,Very Low ,5.3,3
Chattogram Division,Cumilla,Barura,443946,Very High ,28.4,3.7
Chattogram Division,Cumilla,Brahmanpara,228514,Moderate ,15.9,10.1
Chattogram Division,Cumilla,Burichang,339299,High ,21.5,3.5
Chattogram Division,Cumilla,Chandina,387382,Moderate ,15.2,11
Chattogram Division,Cumilla,Chauddagram,492696,Low ,12.3,3.4
Chattogram Division,Cumilla,Sadar Dakkhin,319134,Very Low ,6,2.4
Chattogram Division,Cumilla,Daudkandi,386757,Low ,14.8,10.4
Chattogram Division,Cumilla,Debidwar,459951,Very Low ,6.1,2.8
Chattogram Division,Cumilla,Homna,222303,Moderate ,18.1,10.6
Chattogram Division,Cumilla,Adarsha Sadar,629199,Very Low ,7,1.8
Chattogram Division,Cumilla,Laksam,324287,Moderate ,16.3,12
Chattogram Division,Cumilla,Lalmai,211912,Low ,10.3,2.9
Chattogram Division,Cumilla,Manoharganj,270903,Moderate ,16.1,10.9
Chattogram Division,Cumilla,Meghna,116211,Moderate ,17.5,13.6
Chattogram Division,Cumilla,Muradnagar,565030,Very Low ,9.3,3.9
Chattogram Division,Cumilla,Nangalkot,420035,Low ,10.1,3.3
