Division,District,Name,Population20,Quintile,HCR Upper (%),Standard Error (%)
Barishal Division,Barguna District,Amtali,211015,Low ,14.9,5
Barishal Division,Barguna District,Bamna,77419,Moderate ,20.2,10.5
Barishal Division,Barguna District,Barguna Sadar,288426,Moderate ,18.6,3
Barishal Division,Barguna District,Betagi,124379,High ,22.3,10.2
Barishal Division,Barguna District,Patharghata,175873,High ,23.5,2.2
Barishal Division,Barguna District,Taltali,115609,High ,23.3,9.6
Barishal Division,Barishal District,Agailjhara,153523,High ,24.9,4.7
Barishal Division,Barishal District,Babuganj,150640,Low ,13.7,5
Barishal Division,Barishal District,Bakerganj,346151,High ,27.1,3.4
Barishal Division,Barishal District,Banaripara,167200,Very High ,38.4,4.1
Barishal Division,Barishal District,Gaurnadi,202870,Very High ,33.3,4
Barishal Division,Barishal District,Hijla,148102,Very High ,35.7,13.3
Barishal Division,Barishal District,Barishal Sadar,617993,Moderate ,18.5,1.4
Barishal Division,Barishal District,Mehendiganj,280553,Moderate ,19.2,3.8
Barishal Division,Barishal District,Muladi,178483,Very High ,31.2,5.4
Barishal Division,Barishal District,Ujirpur,251110,Very High ,32.2,3.7
Barishal Division,Bhola District,Bhola Sadar,434440,Moderate ,20.7,3.3
Barishal Division,Bhola District,Borhanuddin,261842,Very High ,44.2,5.1
Barishal Division,Bhola District,Charfasson,514341,Moderate ,19.8,3.3
Barishal Division,Bhola District,Daulatkhan,180248,Very High ,39.4,5
Barishal Division,Bhola District,Lalmohan,292169,High ,23.5,5.7
Barishal Division,Bhola District,Monpura,88973,High ,27.6,6.1
Barishal Division,Bhola District,Tazumuddin,132345,Very High ,32.3,8.2
Barishal Division,Jhalokati District,Jhalokati Sadar,209894,High ,21.9,3.4
Barishal Division,Jhalokati District,Kanthalia,110496,Very High ,31.2,5.4
Barishal Division,Jhalokati District,Nalchhity,184777,Very High ,53.8,4.1
Barishal Division,Jhalokati District,Rajapur,142000,High ,26,5.2
Barishal Division,Patuakhali District,Bauphal,322609,Very High ,35.5,4.3
Barishal Division,Patuakhali District,Dashmina,128549,Moderate ,20.4,3.8
Barishal Division,Patuakhali District,Dumki,78579,Moderate ,18.8,3.4
Barishal Division,Patuakhali District,Galachipa,295095,Very High ,28.5,3.9
Barishal Division,Patuakhali District,Kalapara,277035,Very Low ,7.7,2.6
Barishal Division,Patuakhali District,Mirzaganj,124976,Moderate ,17.1,3.4
Barishal Division,Patuakhali District,Patuakhali Sadar,343505,Low ,14,2.4
Barishal Division,Patuakhali District,Rangabali,117102,Moderate ,17.5,4.1
Barishal Division,Pirojpur District,Bhandaria,160364,Very High ,30.1,4.2
Barishal Division,Pirojpur District,Pirojpur Sadar,69085,Very High ,41.4,14.3
Barishal Division,Pirojpur District,Mathbaria,272481,Very High ,39.2,5.3
Barishal Division,Pirojpur District,Nazirpur,185143,Very High ,33.4,5.7
Barishal Division,Pirojpur District,Pirojpur Sadar,176647,Very High ,47.7,3.8
Barishal Division,Pirojpur District,"Nesarabad
(Swarupkathi)",224752,Very High ,36.6,5.8
Barishal Division,Pirojpur District,Indurkani,83367,Very High ,38.9,6.2
Chattogram Division,Bandarban District,Alikadam,59162,High ,27.7,13.9
Chattogram Division,Bandarban District,Bandarban Sadar,100447,Moderate ,18.3,6.6
Chattogram Division,Bandarban District,Lama,133515,High ,23.7,15.2
Chattogram Division,Bandarban District,Naikkhongchhari,74509,Very High ,30.8,4.2
Chattogram Division,Bandarban District,Rowangchhari,26069,High ,23.4,14.9
Chattogram Division,Bandarban District,Ruma,30065,Very High ,28.7,13.7
Chattogram Division,Bandarban District,Thanchi,26925,Very High ,32.8,15.6
Chattogram Division,Brahmanbaria District,Akhaura,164102,Moderate ,16.8,9
Chattogram Division,Brahmanbaria District,Banchharampur,327327,Very Low ,3.6,2.9
Chattogram Division,Brahmanbaria District,Bijoynagar,286164,Moderate ,19.7,14.7
Chattogram Division,Brahmanbaria District,"Brahmanbaria
Sadar",645099,Low ,13.8,3
Chattogram Division,Brahmanbaria District,Ashuganj,203505,Moderate ,17.3,9.6
Chattogram Division,Brahmanbaria District,Kasba,352248,Low ,13.9,10.1
Chattogram Division,Brahmanbaria District,Nabinagar,546739,High ,26.1,3.8
Chattogram Division,Brahmanbaria District,Nasirnagar,344111,Very High ,45.9,6
Chattogram Division,Brahmanbaria District,Sarail,358607,High ,22.7,13.7
Chattogram Division,Chandpur District,Chandpur Sadar,516696,Very High ,34,2.2
Chattogram Division,Chandpur District,Faridganj,426082,Low ,14,3.6
Chattogram Division,Chandpur District,Haimchar,123584,Very High ,36.5,4.6
Chattogram Division,Chandpur District,Hajiganj,351981,High ,24,14.9
Chattogram Division,Chandpur District,Kachua,396813,Very Low ,7.6,4.3
Chattogram Division,Chandpur District,Matlab Dakkhin,221770,High ,25.2,11.9
Chattogram Division,Chandpur District,Matlab Uttar,292872,Very High ,40.7,4.7
Chattogram Division,Chandpur District,Shahrasti,250930,High ,26,14.7
Chattogram Division,Chattogram District,Akbarshah,146436,Low ,12.7,1.7
Chattogram Division,Chattogram District,Anwara,311458,Very High ,34.3,4.4
Chattogram Division,Chattogram District,Bayejid Bostami,373753,Very Low ,8.9,3.1
Chattogram Division,Chattogram District,Banshkhali,526717,High ,21.4,5.3
Chattogram Division,Chattogram District,Bakalia,218922,Low ,12.7,3.1
Chattogram Division,Chattogram District,Boalkhali,253856,Low ,11.5,5.3
Chattogram Division,Chattogram District,Chalk Bazar,107160,Very Low ,2.5,1.3
Chattogram Division,Chattogram District,Chandanaish,246282,Low ,13.3,7.7
Chattogram Division,Chattogram District,Chandgaon,297492,Very Low ,8,1.5
Chattogram Division,Chattogram District,Chattogram Port,166861,Very Low ,6.7,1.4
Chattogram Division,Chattogram District,Double Mooring,236454,Very Low ,1.1,1.6
Chattogram Division,Chattogram District,EPZ,237441,Very Low ,2.6,1.1
Chattogram Division,Chattogram District,Fatikchhari,621041,Moderate ,17.3,9.2
Chattogram Division,Chattogram District,Halishahar,223012,Very Low ,6,1.5
Chattogram Division,Chattogram District,Hathazari,470083,Low ,13.6,2.4
Chattogram Division,Chattogram District,Karnaphuli,198192,Moderate ,15.4,6.8
Chattogram Division,Chattogram District,Kotwali,206959,Very Low ,6.7,1.4
Chattogram Division,Chattogram District,Khulshi,193239,Very Low ,5.8,2.1
